Muscle Group,Exercise
Abdominals - Lower,Full Reverse Crunch
Abdominals - Lower,Incline Hip Thrust
Abdominals - Lower,Incline Reverse Crunch
Abdominals - Lower,Lying Hip Thrust
Abdominals - Lower,Reverse Crunch
Abdominals - Lower,Reverse Medicine Ball Crunch
Abdominals - Obliques,Alternating Heel Touch
Abdominals - Obliques,Bent-Knee Medicine Ball Hip Rotation
Abdominals - Obliques,Cable Chop
Abdominals - Obliques,Cross Crunch
Abdominals - Obliques,Cross Crunch w/ Medicine Ball
Abdominals - Obliques,Decline Cross Sit-Up
Abdominals - Obliques,Decline Sit-Up w/ Twist
Abdominals - Obliques,Reverse Cable Chop
Abdominals - Obliques,Seated Medicine Ball Twist
Abdominals - Obliques,Trunk Rotator
Abdominals - Total,Front Plank (from knees)
Abdominals - Total,Front Plank (from toes)
Abdominals - Total,Front Plank (tripod - 1 arm and 2 legs or 2 legs and 1 arm)
Abdominals - Total,Side-Plank (from knees)
Abdominals - Total,Side-Plank (hip lift)
Abdominals - Total,Side-Plank (from toes)
Abdominals - Total,Ab Cycle
Abdominals - Total,Kneeling Ab Rollout
Abdominals - Total,Medicine Ball V-Up
Abdominals - Total,V-Up
Abdominals - Total,Weighted V-Up
Abdominals - Upper,Bent Knee Sit-Up
Abdominals - Upper,Bent-Knee Crunch
Abdominals - Upper,Crunch
Abdominals - Upper,Crunch
Abdominals - Upper,Decline Crunch
Abdominals - Upper,Decline Sit-Up
Abdominals - Upper,Heel Touch
Abdominals - Upper,Sit-Up
Abdominals - Upper,Weighted Crunch
Back - Latissimus Dorsi,Assisted Pull-Up
Back - Latissimus Dorsi,Close-Grip Lat Pulldown
Back - Latissimus Dorsi,Inverted Pull-Up
Back - Latissimus Dorsi,Lat Pulldown
Back - Latissimus Dorsi,Pull-Up
Back - Latissimus Dorsi,Reverse-Grip Lat Pullown
Back - Latissimus Dorsi,Reverse-Grip Pull-Up
Back - Latissimus Dorsi,V-Bar Pull-Up
Back - Latissimus Dorsi,Wide-Grip Lat Pulldown
Back - Lat.Dorsi/Rhomboids,Bent-Over Alternating Dumbbell Row
Back - Lat.Dorsi/Rhomboids,Bent-Over Barbell Row
Back - Lat.Dorsi/Rhomboids,Bent-Over Dumbbell Row
Back - Lat.Dorsi/Rhomboids,Bent-Over Hammer Dumbbell Row
Back - Lat.Dorsi/Rhomboids,Bent-Over Long Barbell Row
Back - Lat.Dorsi/Rhomboids,Bent-Over Reverse-Grip Barbell Row
Back - Lat.Dorsi/Rhomboids,Bent-Over Single-Arm Long Barbell Row
Back - Lat.Dorsi/Rhomboids,Machine Row
Back - Lat.Dorsi/Rhomboids,One Arm Dumbbell Row
Back - Lat.Dorsi/Rhomboids,Reverse Incline Dumbbell Row
Back - Lat.Dorsi/Rhomboids,Rope Cable Row
Back - Lat.Dorsi/Rhomboids,Seated Cable Row
Back - Lat.Dorsi/Rhomboids,Seated Row
Back - Lat.Dorsi/Rhomboids,Single-Arm Cable Row
Back - Lat.Dorsi/Rhomboids,Single-Arm Dumbbell Row
Back - Lat.Dorsi/Rhomboids,Single-Arm Lat Pulldown
Back - Lat.Dorsi/Rhomboids,Standing Cable Row
Back - Lat.Dorsi/Rhomboids,Standing Single-Arm Cable Row
Biceps,Alternating Dumbbell Curl
Biceps,Alternating Hammer Curl
Biceps,Barbell Curl
Biceps,Bicep Curl
Biceps,Bottom/Top/Full Curls
Biceps,Cable Curl
Biceps,Concentration Dumbbell Curl
Biceps,Cross Body Hammer Curl
Biceps,Dumbbell Curl
Biceps,EZ-Bar Curl
Biceps,Hammer Curl
Biceps,Incline Alternating Dumbbell Curl
Biceps,Incline Alternating Hammer Curl
Biceps,Incline Dumbbell Curl
Biceps,Incline Hammer Curl
Biceps,Kneeling Cable Curl
Biceps,Lying Cable Curl
Biceps,Lying Double Biceps Cable Curl
Biceps,Lying High Cable Curl
Biceps,Machine Curl
Biceps,Overhead Double Biceps Cable Curl
Biceps,Overhead Rope Cable Curl
Biceps,Preacher Barbell Curl
Biceps,Preacher Cable Curl
Biceps,Preacher Dumbbell Curl
Biceps,Preacher EZ-Bar Curl
Biceps,Preacher Hammer Dumbbell Curl
Biceps,Preacher Single-Arm Dumbbell Curl
Biceps,Reverse Curl
Biceps,Rope Cable Curl
Biceps,Seated Alternating Curl
Biceps,Seated Alternating Hammer Curl
Biceps,Seated Dumbbell Curl
Biceps,Seated Hammer Curl
Biceps,Single-Arm Barbell Curl
Biceps,Single-Arm Cable Curl
Biceps,Single-Arm Dumbbell Curl w/ Incline Bench
Biceps,Spider Curl
Calves - Gastrocnemius,Barbell Calf Raise
Calves - Gastrocnemius,Calf Press
Calves - Gastrocnemius,Calf Raise - Seated
Calves - Gastrocnemius,Calf Raise - Standing
Calves - Gastrocnemius,Dumbbell Calf Raise
Calves - Gastrocnemius,Single-Leg Calf Press
Calves - Gastrocnemius,Single-Leg Dumbbell Calf Raise
Calves - Gastrocnemius,Smith Machine Calf Raise
Calves - Soleus,Seated Calf Raise
Calves - Soleus,Seated Single-Leg Calf Raise
Chest - Pectoralis,Alternating Dumbbell Bench Press
Chest - Pectoralis,Barbell Bench Press
Chest - Pectoralis,Chest Press
Chest - Pectoralis,Decline Dumbbell Bench Press
Chest - Pectoralis,Decline Smith Machine Bench Press
Chest - Pectoralis,Dumbbell Bench Press
Chest - Pectoralis,Dumbbell Push-Up
Chest - Pectoralis,Elevated Push-Up
Chest - Pectoralis,Flat Bench Press
Chest - Pectoralis,Incline Alternating Dumbbell Bench Press
Chest - Pectoralis,Incline Barbell Bench Press
Chest - Pectoralis,Incline Bench Press
Chest - Pectoralis,Incline Dumbbell Bench Press
Chest - Pectoralis,Incline Hammer Dumbbell Bench Press
Chest - Pectoralis,Incline Single-Arm Dumbbell Bench Press
Chest - Pectoralis,Incline Smith Machine Bench Press
Chest - Pectoralis,Incline Twisting Dumbbell Bench Press
Chest - Pectoralis,Kneeling Push-Up
Chest - Pectoralis,Machine Bench Press
Chest - Pectoralis,Machine Vertical Bench Press
Chest - Pectoralis,Medicine Ball Crossover Push-Up
Chest - Pectoralis,Push-Up
Chest - Pectoralis,Single-Arm Dumbbell Bench Press
Chest - Pectoralis,Smith Machine Bench Press
Chest - Pectoralis,Twisting Dumbbell Bench Press
Chest - Pectoralis,Wide-Grip Push-Up
Chest - Pectoralis,Cable Crossover
Chest - Pectoralis,Cable Fly
Chest - Pectoralis,Decline Dumbbell Fly
Chest - Pectoralis,Dumbbell Fly
Chest - Pectoralis,High Cable Crossover
Chest - Pectoralis,Incline Cable Fly
Chest - Pectoralis,Incline Dumbbell Fly
Chest - Pectoralis,Incline Twisting Dumbbell Fly
Chest - Pectoralis,Low Cable Crossover
Chest - Pectoralis,Pec Deck
Chest - Pectoralis,Pec Deck Fly
Legs - Hamstrings,Bent-Knee Single-Leg Hip Lift
Legs - Hamstrings,Elevated Hip Lift
Legs - Hamstrings,Elevated Single-Leg Hip Lift
Legs - Hamstrings,Hip Lift
Legs - Hamstrings,Single-Leg Hip Lift
Legs - Hamstrings,Deadlift
Legs - Hamstrings,Leg Curl
Legs - Hamstrings,Lying Alternating Leg Curl
Legs - Hamstrings,Lying Leg Curl
Legs - Hamstrings,Lying Single-Leg Curl
Legs - Hamstrings,Seated Leg Curl
Legs - Quadriceps,Barbell Diagonal Lunge
Legs - Quadriceps,Barbell Hack Squat
Legs - Quadriceps,Barbell Lunge
Legs - Quadriceps,Barbell Reverse Lunge
Legs - Quadriceps,Barbell Side Lunge
Legs - Quadriceps,Barbell Split Squat
Legs - Quadriceps,Barbell Squat
Legs - Quadriceps,Barbell Step-Up
Legs - Quadriceps,Barbell Walking Lunge
Legs - Quadriceps,Diagonal Lunge
Legs - Quadriceps,Dumbbell Diagonal Lunge
Legs - Quadriceps,Dumbbell Lunge
Legs - Quadriceps,Dumbbell Reverse Lunge
Legs - Quadriceps,Dumbbell Side Lunge
Legs - Quadriceps,Dumbbell Split Squat
Legs - Quadriceps,Dumbbell Squat
Legs - Quadriceps,Dumbbell Step-Up
Legs - Quadriceps,Dumbbell Walking Lunge
Legs - Quadriceps,Forward Lunge
Legs - Quadriceps,Lateral Barbell Squat
Legs - Quadriceps,Lateral Barbell Step-Up
Legs - Quadriceps,Lateral Squat
Legs - Quadriceps,Lateral Step-Up
Legs - Quadriceps,Leg Press
Legs - Quadriceps,Lunge
Legs - Quadriceps,Lying Machine Squat
Legs - Quadriceps,Machine Hack Squat
Legs - Quadriceps,Reverse Lunge
Legs - Quadriceps,Single-Arm Barbell Side Squat
Legs - Quadriceps,Single-Arm Dumbbell Side Squat
